Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Best_Companies,Number_of_employees,MarketCap_March31_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated
548,McCormick,MKC,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,-43.0,no,yes,n/a,no,no,14200,22320.0,6351,0.5,682,-9.7,13125,Brendan M. Foley,U.S.,Hunt Valley,MD,www.mccormickcorporation.com,Public,"Figures are for fiscal year ended Nov. 30, 2022. Market value as of March 31, 2023.",22320.0,2023-06-05
549,Greif,GEF,Materials,"Packaging, Containers",yes,no,no,no,12.0,yes,no,n/a,no,no,12000,3292.0,6350,14.3,377,-3.6,5470,Ole G. Rosgaard,U.S.,Delaware,OH,www.greif.com,Public,"Figures are for fiscal year ended Oct. 31, 2022. Market value as of March 31, 2023.",3292.0,2023-06-05
550,Victoria's Secret,VSCO,Retailing,Specialty Retailers: Apparel,yes,no,no,no,-70.0,no,yes,n/a,no,no,22500,2655.0,6344,-6.5,348,-46.1,4711,Martin P. Waters,U.S.,Reynoldsburg,OH,www.victoriassecretandco.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",2655.0,2023-06-05
551,Hanesbrands,HBI,Apparel,Apparel,no,no,no,no,-93.0,no,yes,n/a,no,no,50500,1838.0,6335,-13.8,-127,-264.7,6504,Stephen B. Bratspies,U.S.,Winston-Salem,NC,www.hanes.com,Public,"Includes revenues from discontinued operations. Market value as of March 31, 2023.",1838.0,2023-06-05
552,Select Medical Holdings,SEM,Health Care,Health Care: Medical Facilities,yes,no,no,yes,-39.0,no,yes,n/a,no,no,45800,3288.0,6334,2.1,159,-60.5,7665,David S. Chernow,U.S.,Mechanicsburg,PA,www.selectmedicalholdings.com,Public,"Market value as of March 31, 2023.",3288.0,2023-06-05
553,Concentrix,CNXC,Technology,Information Technology Services,yes,no,no,yes,4.0,yes,no,n/a,no,no,315000,6223.0,6325,13.2,435,7.3,6670,Christopher A. Caldwell,U.S.,Newark,CA,www.concentrix.com,Public,"Figures are for fiscal year ended Nov. 30, 2022. Market value as of March 31, 2023.",6223.0,2023-06-05
554,Ryerson Holding,RYI,Materials,Metals,yes,no,no,yes,-5.0,no,yes,n/a,no,no,4200,1291.0,6324,11.4,391,32.9,2334,Edward J. Lehner,U.S.,Chicago,IL,www.ryerson.com,Public,"Market value as of March 31, 2023.",1291.0,2023-06-05
555,NetApp,NTAP,Technology,"Computers, Office Equipment",yes,no,no,yes,-13.0,no,yes,n/a,no,no,12000,13658.0,6318,10.0,937,28.4,10026,George Kurian,U.S.,San Jose,CA,www.netapp.com,Public,"Figures are for fiscal year ended April 30, 2022. Market value as of March 31, 2023.",13658.0,2023-06-05
556,Monster Beverage,MNST,"Food, Beverages & Tobacco",Beverages,yes,no,no,yes,8.0,yes,no,n/a,no,no,4952,56431.0,6311,13.9,1192,-13.5,8293,Rodney C. Sacks/Hilton H. Schlosberg,U.S.,Corona,CA,www.monsterbevcorp.com,Public,"Market value as of March 31, 2023.",56431.0,2023-06-05
557,Meritage Homes,MTH,Engineering & Construction,Homebuilders,yes,no,no,yes,31.0,yes,no,n/a,no,no,1921,4293.0,6292,22.4,992,34.5,5772,Phillippe Lord,U.S.,Scottsdale,AZ,www.meritagehomes.com,Public,"Market value as of March 31, 2023.",4293.0,2023-06-05
558,Old Dominion Freight Line,ODFL,Transportation,"Trucking, Truck Leasing",yes,no,no,no,20.0,yes,no,n/a,no,no,23471,37501.0,6260,19.1,1377,33.1,4839,Kevin M. Freeman,U.S.,Thomasville,NC,www.odfl.com,Public,"Market value as of March 31, 2023.",37501.0,2023-06-05
559,Nasdaq,NDAQ,Financials,Securities,yes,no,yes,yes,-27.0,no,yes,n/a,no,no,6377,26734.0,6226,5.8,1125,-5.2,20868,Adena T. Friedman,U.S.,New York,NY,www.nasdaq.com,Public,"Market value as of March 31, 2023.",26734.0,2023-06-05
560,Intuitive Surgical,ISRG,Health Care,Medical Products and Equipment,yes,no,no,yes,-15.0,no,yes,n/a,no,no,12120,89480.0,6222,9.0,1322,-22.4,12974,Gary S. Guthart,U.S.,Sunnyvale,CA,www.intuitive.com,Public,"Market value as of March 31, 2023.",89480.0,2023-06-05
561,Ralph Lauren,RL,Apparel,Apparel,yes,no,no,yes,97.0,yes,no,n/a,no,no,17850,7698.0,6219,41.3,600,,7725,Patrice Louvet,U.S.,New York,NY,www.ralphlauren.com,Public,"Figures are for fiscal year ended March 31, 2022. Market value as of March 31, 2023.",7698.0,2023-06-05
562,Workday,WDAY,Technology,Computer Software,no,yes,no,yes,27.0,yes,no,n/a,no,no,17700,53494.0,6216,21.0,-367,-1348.6,13486,Aneel Bhusri/Carl M. Eschenbach,U.S.,Pleasanton,CA,www.workday.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",53494.0,2023-06-05
563,Zillow Group,ZG,Technology,Internet Services and Retailing,no,yes,no,no,-139.0,no,yes,n/a,no,no,5724,10375.0,6207,-23.8,-101,,6563,Richard N. Barton,U.S.,Seattle,WA,www.zillowgroup.com,Public,"Includes revenues from discontinued operations. Market value as of March 31, 2023.",10375.0,2023-06-05
564,CACI International,CACI,Technology,Information Technology Services,yes,no,no,no,-42.0,no,yes,n/a,no,no,22000,6965.0,6203,2.6,367,-19.8,6629,John S. Mengucci,U.S.,Reston,VA,www.caci.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",6965.0,2023-06-05
565,Coca-Cola Consolidated,COKE,"Food, Beverages & Tobacco",Beverages,yes,no,no,yes,-5.0,no,yes,n/a,no,no,16000,5016.0,6201,11.5,430,126.9,3710,J. Frank Harrison III,U.S.,Charlotte,NC,www.cokeconsolidated.com,Public,"Market value as of March 31, 2023.",5016.0,2023-06-05
566,Pool,POOL,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,11.0,yes,no,n/a,no,no,6100,13380.0,6180,16.7,749,15.0,3565,Peter D. Arvan,U.S.,Covington,LA,www.poolcorp.com,Public,"Market value as of March 31, 2023.",13380.0,2023-06-05
567,Securian Financial Group,,Financials,"Insurance: Life, Health (stock)",no,no,no,no,-103.0,no,yes,n/a,no,no,6500,,6175,-15.6,-91,-129.3,67855,Christopher M. Hilger,U.S.,St. Paul,MN,www.securian.com,Private,"Market value as of March 31, 2021.",,2023-06-05
568,Organon,OGN,Health Care,Pharmaceuticals,yes,no,no,,,,,n/a,no,no,10000,5983.0,6174,,917,,10955,Kevin Ali,U.S.,Jersey City,NJ,www.organon.com,Public,"Spun off from Merck (2022 rank: 69), June 2, 2021. Market value as of March 31, 2023.",5983.0,2023-06-05
569,Levi Strauss,LEVI,Apparel,Apparel,yes,no,no,yes,-29.0,no,yes,n/a,no,no,18000,7226.0,6169,7.0,569,2.8,6038,Charles V. Bergh,U.S.,San Francisco,CA,www.levistrauss.com,Public,"Figures are for fiscal year ended Nov. 30, 2022. Market value as of March 31, 2023.",7226.0,2023-06-05
570,Ametek,AME,Technology,"Scientific, Photographic and Control Equipment",yes,no,no,yes,-7.0,no,yes,n/a,no,no,19600,33467.0,6151,10.9,1160,17.1,12431,David A. Zapico,U.S.,Berwyn,PA,www.ametek.com,Public,"Market value as of March 31, 2023.",33467.0,2023-06-05
571,Petco Health and Wellness,WOOF,Retailing,Specialty Retailers: Other,yes,no,no,yes,-35.0,no,yes,n/a,no,no,29000,2401.0,6036,3.9,91,-44.8,6613,Ronald Coughlin Jr.,U.S.,San Diego,CA,www.petco.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",2401.0,2023-06-05
572,Compass,COMP,Technology,Internet Services and Retailing,no,yes,no,no,-77.0,no,yes,n/a,no,no,3191,1521.0,6018,-6.3,-602,,1533,Robert L. Reffkin,U.S.,New York,NY,www.compass.com,Public,"Market value as of March 31, 2023.",1521.0,2023-06-05
573,Rocket Companies,RKT,Financials,Diversified Financials,yes,no,no,no,-291.0,no,yes,n/a,no,yes,18500,17882.0,6005,-54.4,46,-84.9,20082,Bill Emerson,U.S.,Detroit,MI,www.rocketcompanies.com,Public,"Market value as of March 31, 2023.",17882.0,2023-06-05
574,Crestwood Equity Partners,CEQP,Energy,Pipelines,yes,yes,no,yes,70.0,yes,no,n/a,no,no,753,2627.0,6001,31.3,31,,6567,Robert G Phillips,U.S.,Houston,TX,www.crestwoodlp.com,Public,"A partnership. Market value as of March 31, 2023.",2627.0,2023-06-05
575,Prologis,PLD,Financials,Real estate,yes,yes,no,yes,54.0,yes,no,n/a,no,no,2466,115219.0,5974,25.5,3365,14.5,87897,Hamid R. Moghadam,U.S.,San Francisco,CA,www.prologis.com,Public,"A real estate investment trust. Market value as of March 31, 2023.",115219.0,2023-06-05
576,Insperity,NSP,Business Services,Diversified Outsourcing Services,yes,yes,no,yes,35.0,yes,no,n/a,no,no,4100,4601.0,5939,19.4,179,44.5,2039,Paul J. Sarvadi,U.S.,Kingwood,TX,www.insperity.com,Public,"Market value as of March 31, 2023.",4601.0,2023-06-05
577,GameStop,GME,Retailing,Specialty Retailers: Other,no,no,no,no,-51.0,no,yes,n/a,no,no,21250,7014.0,5927,-1.4,-313,,3113,Ryan Cohen,U.S.,Grapevine,TX,www.gamestop.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",7014.0,2023-06-05
578,Ingersoll Rand,IR,Industrials,Industrial Machinery,yes,no,no,yes,-28.0,no,yes,n/a,no,no,17000,23560.0,5923,4.7,605,7.5,14766,Vicente Reynal,U.S.,Davidson,NC,www.irco.com,Public,"Includes revenues from discontinued operations. Market value as of March 31, 2023.",23560.0,2023-06-05
579,Voya Financial,VOYA,Financials,Diversified Financials,yes,no,yes,yes,91.0,yes,no,n/a,no,no,6070,6953.0,5922,40.0,510,-76.0,147652,Heather H. Lavallee,U.S.,New York,NY,www.voya.com,Public,"Market value as of March 31, 2023.",6953.0,2023-06-05
580,Marvell Technology,MRVL,Technology,Semiconductors and Other Electronic Components,no,no,no,yes,74.0,yes,no,n/a,no,no,7433,37104.0,5920,32.7,-164,,22522,Matthew J. Murphy,U.S.,Wilmington,DE,www.marvell.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",37104.0,2023-06-05
581,Warner Music Group,WMG,Media,Entertainment,yes,no,no,yes,-5.0,no,yes,n/a,no,no,6200,17217.0,5919,11.7,551,81.3,7828,Robert Kyncl,U.S.,New York,NY,www.wmg.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",17217.0,2023-06-05
582,Hyatt Hotels,H,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,242.0,yes,no,n/a,no,yes,50000,11878.0,5891,94.6,455,,12312,Mark S. Hoplamazian,U.S.,Chicago,IL,www.hyatt.com,Public,"Market value as of March 31, 2023.",11878.0,2023-06-05
583,Welltower,WELL,Financials,Real estate,yes,no,no,yes,47.0,yes,no,n/a,no,no,514,35174.0,5861,23.6,141,-58.0,37893,Shankh S. Mitra,U.S.,Toledo,OH,www.welltower.com,Public,"A real estate investment trust. Market value as of March 31, 2023.",35174.0,2023-06-05
584,Evergy,EVRG,Energy,Utilities: Gas and Electric,yes,no,no,no,-26.0,no,yes,n/a,no,no,4512,14032.0,5859,4.9,753,-14.4,29490,David A. Campbell,U.S.,Kansas City,MO,investors.evergy.com,Public,"Market value as of March 31, 2023.",14032.0,2023-06-05
585,Hasbro,HAS,Household Products,"Toys, Sporting Goods",yes,no,no,no,-89.0,no,yes,n/a,no,no,6490,7421.0,5857,-8.8,204,-52.5,9296,Christian P. Cocks,U.S.,Pawtucket,RI,www.hasbro.com,Public,"Market value as of March 31, 2023.",7421.0,2023-06-05
586,NiSource,NI,Energy,Utilities: Gas and Electric,yes,no,no,no,33.0,yes,no,n/a,no,no,7140,11534.0,5851,19.4,804,37.5,26737,Lloyd M. Yates,U.S.,Merrillville,IN,www.nisource.com,Public,"Market value as of March 31, 2023.",11534.0,2023-06-05
587,Fortive,FTV,Industrials,Industrial Machinery,yes,no,no,no,-8.0,no,yes,n/a,no,no,18000,24078.0,5826,10.9,755,24.1,15891,James A. Lico,U.S.,Everett,WA,www.fortive.com,Public,"Market value as of March 31, 2023.",24078.0,2023-06-05
588,American Axle & Manufacturing,AXL,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,-1.0,no,yes,n/a,no,no,19000,912.0,5802,12.5,64,989.8,5469,David C. Dauch,U.S.,Detroit,MI,www.aam.com,Public,"Market value as of March 31, 2023.",912.0,2023-06-05
589,FMC,FMC,Chemicals,Chemicals,yes,no,no,yes,14.0,yes,no,n/a,no,no,6600,15284.0,5802,15.0,737,,11171,Mark A. Douglas,U.S.,Philadelphia,PA,www.fmc.com,Public,"Market value as of March 31, 2023.",15284.0,2023-06-05
590,Frontier Communications,FYBR,Telecommunications,Telecommunications,yes,no,no,no,-91.0,no,yes,n/a,no,no,14708,5580.0,5787,-9.7,441,,18624,Nick Jeffery,U.S.,Norwalk,CT,www.frontier.com,Public,"Net income and earnings per share percent changes are not available due to emergence from bankruptcy and fresh-start accounting, April 30, 2021. Market value as of March 31, 2023.",5580.0,2023-06-05
591,Zebra Technologies,ZBRA,Industrials,"Electronics, Electrical Equip.",yes,no,no,yes,-38.0,no,yes,n/a,no,no,10500,16345.0,5781,2.7,463,-44.7,7529,William J. Burns,U.S.,Lincolnshire,IL,www.zebra.com,Public,"Market value as of March 31, 2023.",16345.0,2023-06-05
592,Harley-Davidson,HOG,Transportation,Transportation Equipment,yes,no,no,yes,-20.0,no,yes,n/a,no,no,6300,5551.0,5755,7.8,741,14.1,11493,Jochen Zeitz,U.S.,Milwaukee,WI,www.harley-davidson.com,Public,"Market value as of March 31, 2023.",5551.0,2023-06-05
593,U-Haul Holding,UHAL,Transportation,"Trucking, Truck Leasing",yes,no,no,yes,55.0,yes,no,n/a,no,no,25234,10320.0,5740,26.4,1123,83.9,17300,Edward J. Shoen,U.S.,Reno,NV,www.uhaul.com,Public,"Changed name from Amerco, Dec. 19, 2022. Figures are for fiscal year ended March 31, 2022. Market value as of March 31, 2023.",10320.0,2023-06-05
594,Under Armour,UAA,Apparel,Apparel,yes,no,yes,no,-48.0,no,yes,n/a,no,no,12300,3982.0,5727,19.3,223,88.3,4453,Stephanie C. Linnartz,U.S.,Baltimore,MD,about.underarmour.com,Public,"Changed fiscal year-end from Dec. 31. to March 31. Figures are for the twelve months ended March 31, 2022. Market value as of March 31, 2023.",3982.0,2023-06-05
595,MDC Holdings,MDC,Engineering & Construction,Homebuilders,yes,no,no,no,-15.0,no,yes,n/a,no,no,1643,2841.0,5718,8.8,562,-2.0,5363,David D. Mandarich,U.S.,Denver,CO,www.mdcholdings.com,Public,"Market value as of March 31, 2023.",2841.0,2023-06-05
596,Broadridge Financial Solutions,BR,Business Services,Financial Data Services,yes,no,no,yes,12.0,yes,no,n/a,no,no,14300,17250.0,5709,14.3,539,-1.5,8169,Timothy C. Gokey,U.S.,Lake Success,NY,www.broadridge.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",17250.0,2023-06-05
597,Vertiv Holdings,VRT,Industrials,"Electronics, Electrical Equip.",yes,no,no,yes,10.0,yes,no,n/a,no,no,27000,5404.0,5692,13.9,77,-36.0,7096,Giordano Albertazzi,U.S.,Westerville,OH,www.vertiv.com,Public,"Market value as of March 31, 2023.",5404.0,2023-06-05
598,Ingles Markets,IMKTA,Food & Drug Stores,Food and Drug Stores,yes,no,no,no,11.0,yes,no,n/a,no,no,18460,1685.0,5679,13.9,273,9.2,2296,James W. Lanning,U.S.,Black Mountain,NC,www.ingles-markets.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",1685.0,2023-06-05
599,Howmet Aerospace,HWM,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,13.0,yes,no,n/a,no,no,21400,17448.0,5663,13.9,469,81.8,10255,John C. Plant,U.S.,Pittsburgh,PA,www.howmet.com,Public,"Market value as of March 31, 2023.",17448.0,2023-06-05
600,Sealed Air,SEE,Materials,"Packaging, Containers",yes,no,no,no,-35.0,no,yes,n/a,no,no,16300,6609.0,5642,2.0,492,-3.0,6215,Edward L. Doheny II,U.S.,Charlotte,NC,www.sealedair.com,Public,"Market value as of March 31, 2023.",6609.0,2023-06-05
601,Kemper,KMPR,Financials,Insurance: Property and Casualty (Stock),no,no,no,no,-64.0,no,yes,n/a,no,no,9500,3496.0,5577,-3.7,-301,,13364,Joseph P. Lacher Jr.,U.S.,Chicago,IL,www.kemper.com,Public,"Market value as of March 31, 2023.",3496.0,2023-06-05
602,First Citizens BancShares,FCNCA,Financials,Commercial Banks,yes,no,no,yes,,,,n/a,no,no,10530,14032.0,5549,183.3,1098,100.6,109298,Frank B. Holding Jr.,U.S.,Raleigh,NC,www.firstcitizens.com,Public,"Market value as of March 31, 2023.",14032.0,2023-06-05
603,Xylem,XYL,Industrials,Industrial Machinery,yes,no,no,yes,-18.0,no,yes,n/a,no,no,17800,18875.0,5522,6.3,355,-16.9,7952,Patrick K. Decker,U.S.,Washington,DC,www.xylem.com,Public,"Market value as of March 31, 2023.",18875.0,2023-06-05
604,Palo Alto Networks,PANW,Technology,Network and Other Communications Equipment,no,no,no,yes,62.0,yes,no,n/a,no,no,12561,60443.0,5502,29.3,-267,,12254,Nikesh Arora,U.S.,Santa Clara,CA,www.paloaltonetworks.com,Public,"Figures are for fiscal year ended July 31, 2022. Market value as of March 31, 2023.",60443.0,2023-06-05
605,Skyworks Solutions,SWKS,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,-10.0,no,yes,n/a,no,no,11150,18777.0,5486,7.4,1275,-14.9,8874,Liam K. Griffin,U.S.,Irvine,CA,www.skyworksinc.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",18777.0,2023-06-05
606,Gartner,IT,Technology,Information Technology Services,yes,no,no,yes,27.0,yes,no,n/a,no,no,19500,25756.0,5476,15.7,808,1.8,7300,Eugene A. Hall,U.S.,Stamford,CT,www.gartner.com,Public,"Market value as of March 31, 2023.",25756.0,2023-06-05
607,Roper Technologies,ROP,Technology,Computer Software,yes,no,no,no,-110.0,no,yes,n/a,no,no,15800,46820.0,5472,-14.7,4545,294.3,26981,L. Neil Hunn,U.S.,Sarasota,FL,www.ropertech.com,Public,"Includes revenues from discontinued operations. Market value as of March 31, 2023.",46820.0,2023-06-05
608,Hanover Insurance Group,THG,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,-25.0,no,yes,n/a,no,no,4600,4590.0,5469,4.6,116,-72.3,13997,John C. Roche,U.S.,Worcester,MA,www.hanover.com,Public,"Market value as of March 31, 2023.",4590.0,2023-06-05
609,Big Lots,BIG,Retailing,Specialty Retailers: Other,no,no,no,no,-94.0,no,yes,n/a,no,no,21200,318.0,5468,-11.1,-211,-218.5,3691,Bruce K. Thorn,U.S.,Columbus,OH,www.biglots.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",318.0,2023-06-05
610,Moody's,MCO,Business Services,Financial Data Services,yes,no,no,yes,-98.0,no,yes,n/a,no,no,14426,56084.0,5468,-12.1,1374,-37.9,14349,Robert S. Fauber,U.S.,New York,NY,www.moodys.com,Public,"Market value as of March 31, 2023.",56084.0,2023-06-05
611,Teledyne Technologies,TDY,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,29.0,yes,no,n/a,no,no,14700,21027.0,5459,18.3,789,77.1,14354,Robert Mehrabian,U.S.,Thousand Oaks,CA,www.teledyne.com,Public,"Market value as of March 31, 2023.",21027.0,2023-06-05
612,Mattel,MAT,Household Products,"Toys, Sporting Goods",yes,no,no,no,-42.0,no,yes,n/a,no,no,33900,6516.0,5435,-0.4,394,-56.4,6178,Ynon Kreiz,U.S.,El Segundo,CA,www.mattel.com,Public,"Market value as of March 31, 2023.",6516.0,2023-06-05
613,TransDigm Group,TDG,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,11.0,yes,no,n/a,no,no,14400,40242.0,5429,13.2,866,27.4,18107,Kevin M. Stein,U.S.,Cleveland,OH,www.transdigm.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",40242.0,2023-06-05
614,Keysight Technologies,KEYS,Technology,"Scientific, Photographic and Control Equipment",yes,no,no,yes,,,,n/a,no,no,15000,28766.0,5420,9.7,1124,25.7,8098,Satish Dhanasekaran,U.S.,Santa Rosa,CA,www.keysight.com,Public,"Figures are for fiscal year ended Oct. 31, 2022. Market value as of March 31, 2023.",28766.0,2023-06-05
615,Telephone & Data Systems,TDS,Telecommunications,Telecommunications,yes,no,no,yes,-42.0,no,yes,n/a,no,no,9300,1182.0,5413,1.6,62,-60.3,14550,LeRoy T. Carlson Jr.,U.S.,Chicago,IL,www.tdsinc.com,Public,"Market value as of March 31, 2023.",1182.0,2023-06-05
616,Syneos Health,SYNH,Health Care,Health Care: Pharmacy and Other Services,yes,no,yes,yes,-32.0,no,yes,n/a,no,no,29290,3678.0,5393,3.5,267,13.5,8199,Michelle Keefe,U.S.,Morrisville,NC,www.syneoshealth.com,Public,"Market value as of March 31, 2023.",3678.0,2023-06-05
617,Edwards Lifesciences,EW,Health Care,Medical Products and Equipment,yes,no,no,yes,-35.0,no,yes,n/a,no,no,17300,50143.0,5382,2.9,1522,1.3,8293,Bernard J. Zovighian,U.S.,Irvine,CA,www.edwards.com,Public,"Market value as of March 31, 2023.",50143.0,2023-06-05
618,Church & Dwight,CHD,Household Products,Household and Personal Products,yes,no,no,yes,-32.0,no,yes,n/a,no,no,5250,21577.0,5376,3.6,414,-50.0,8346,Matthew T. Farrell,U.S.,Ewing,NJ,www.churchdwight.com,Public,"Market value as of March 31, 2023.",21577.0,2023-06-05
619,R.R. Donnelley & Sons,RRD,Media,"Publishing, Printing",yes,no,no,no,-6.0,no,yes,n/a,no,no,32000,,5367,8.1,156,4108.1,3163,Thomas J. Quinlan III,U.S.,Chicago,IL,www.rrd.com,Private,"Went private, Feb. 28, 2023.",290.0,2023-06-05
620,Hub Group,HUBG,Transportation,Transportation and Logistics,yes,no,no,yes,49.0,yes,no,n/a,no,no,5900,2802.0,5341,26.2,357,108.2,2810,Phillip D. Yeager,U.S.,Oak Brook,IL,www.hubgroup.com,Public,"Market value as of March 31, 2023.",2802.0,2023-06-05
621,ArcBest,ARCB,Transportation,"Trucking, Truck Leasing",yes,no,yes,yes,75.0,yes,no,n/a,no,no,15700,2242.0,5324,33.8,298,39.7,2494,Judy R. McReynolds,U.S.,Fort Smith,AR,www.arcb.com,Public,"Market value as of March 31, 2023.",2242.0,2023-06-05
622,Coty,COTY,Household Products,Household and Personal Products,yes,no,yes,no,-68.0,no,yes,n/a,no,no,11012,10282.0,5304,-5.6,260,,12116,Sue Y. Nabi,U.S.,New York,NY,www.coty.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",10282.0,2023-06-05
623,Juniper Networks,JNPR,Technology,Network and Other Communications Equipment,yes,no,no,yes,9.0,yes,no,n/a,no,no,10901,11061.0,5301,11.9,471,86.4,9327,Rami Rahim,U.S.,Sunnyvale,CA,www.juniper.net,Public,"Market value as of March 31, 2023.",11061.0,2023-06-05
624,Simon Property Group,SPG,Financials,Real estate,yes,no,no,yes,-31.0,no,yes,n/a,no,no,2900,36585.0,5291,3.4,2140,-4.9,33011,David E. Simon,U.S.,Indianapolis,IN,www.simon.com,Public,"A real estate investment trust. Market value as of March 31, 2023.",36585.0,2023-06-05
625,SS&C Technologies Holdings,SSNC,Technology,Computer Software,yes,yes,no,yes,-24.0,no,yes,n/a,no,no,27600,14158.0,5283,4.6,650,-18.7,16653,William C. Stone,U.S.,Windsor,CT,www.ssctech.com,Public,"Market value as of March 31, 2023.",14158.0,2023-06-05
626,Endeavor Group Holdings,EDR,Media,Entertainment,yes,no,no,yes,-30.0,no,yes,n/a,no,no,11000,11329.0,5268,3.8,129,,12504,Ariel Emanuel,U.S.,Beverly Hills,CA,www.endeavorco.com,Public,"Market value as of March 31, 2023.",11329.0,2023-06-05
627,Yellow,YELL,Transportation,"Trucking, Truck Leasing",yes,no,no,no,-36.0,no,yes,n/a,no,no,30000,105.0,5245,2.4,22,,2279,Darren D. Hawkins,U.S.,Nashville,TN,www.myyellow.com,Public,"Market value as of March 31, 2023.",105.0,2023-06-05
628,AMN Healthcare Services,AMN,Health Care,Health Care: Pharmacy and Other Services,yes,no,yes,yes,66.0,yes,no,n/a,no,no,4230,3407.0,5243,31.6,444,35.6,2888,Caroline S. Grace,U.S.,Dallas,TX,www.amnhealthcare.com,Public,"Market value as of March 31, 2023.",3407.0,2023-06-05
629,Worthington Industries,WOR,Materials,Metals,yes,no,no,no,177.0,yes,no,n/a,no,no,8400,3214.0,5242,65.3,379,-47.6,3643,B. Andrew Rose,U.S.,Columbus,OH,www.worthingtonindustries.com,Public,"Figures are for fiscal year ended May 31, 2022. Market value as of March 31, 2023.",3214.0,2023-06-05
630,IAC,IAC,Technology,Internet Services and Retailing,no,no,no,no,79.0,yes,no,n/a,no,no,11000,4586.0,5235,36.2,-1170,-295.8,10394,Joseph M. Levin,U.S.,New York,NY,www.iac.com,Public,"Changed name from IAC/InterActiveCorp, Aug. 11, 2022. Market value as of March 31, 2023.",4586.0,2023-06-05
631,Regal Rexnord,RRX,Industrials,"Electronics, Electrical Equip.",yes,no,no,no,82.0,yes,no,n/a,no,no,26000,9324.0,5218,36.9,489,132.9,10269,Louis V. Pinkham,U.S.,Beloit,WI,www.regalrexnord.com,Public,"Market value as of March 31, 2023.",9324.0,2023-06-05
632,Globe Life,GL,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,-38.0,no,yes,n/a,no,no,3543,10619.0,5215,2.0,740,-0.7,25537,Frank W. Svoboda/J. Matthew Darden,U.S.,McKinney,TX,www.globelifeinsurance.com,Public,"Market value as of March 31, 2023.",10619.0,2023-06-05
633,Nexstar Media Group,NXST,Media,Entertainment,yes,yes,no,yes,4.0,yes,no,n/a,no,no,12319,6349.0,5211,12.1,971,16.4,12679,Perry A. Sook,U.S.,Irving,TX,www.nexstar.tv,Public,"Market value as of March 31, 2023.",6349.0,2023-06-05
634,LCI Industries,LCII,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,no,19.0,yes,no,n/a,no,no,12900,2767.0,5207,16.4,395,37.3,3247,Jason D. Lippert,U.S.,Elkhart,IN,www.lci1.com,Public,"Market value as of March 31, 2023.",2767.0,2023-06-05
635,CUNA Mutual Group,,Financials,"Insurance: Life, Health (stock)",yes,no,no,no,-33.0,no,yes,n/a,no,no,4100,,5202,3.0,343,-44.8,41340,Robert N. Trunzo,U.S.,Madison,WI,www.cunamutual.com,Private,"A mutual company, not a stock company. It is grouped with stock companies because it reports according to Generally Accepted Accounting Principles.",,2023-06-05
636,Super Micro Computer,SMCI,Technology,"Computers, Office Equipment",yes,yes,no,yes,107.0,yes,no,n/a,no,no,4607,5715.0,5196,46.1,285,154.9,3205,Charles Liang,U.S.,San Jose,CA,www.supermicro.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",5715.0,2023-06-05
